"1;""1ESOA"";""POV  "";""ING  "";""401  "";1;1"
"2;""1ESOB"";""AOV  "";""MAT  "";""402  "";1;1"
"3;""1ESOC"";""RIG  "";""LCL  "";""403  "";1;1"
"4;""1ESOD"";""RMS  "";""MuS  "";""404  "";1;1"
"5;""1ESOE"";""AAS  "";""EF   "";""P-1  "";1;1"
"6;""1ESOF"";""JGM  "";""GeH  "";""112  "";1;1"
"7;""1ESOG"";""ACC  "";""MAT  "";""411  "";1;1"
"8;""1ESOH"";""ERC  "";""ING  "";""202  "";1;1"
"9;""1ESOI"";""JSL  "";""ByG  "";""203  "";1;1"
"10;""2ESOA"";""ARC  "";""MUS  "";""4S   "";1;1"
"11;""2ESOB"";""MMG  "";""GeH  "";""423  "";1;1"
"12;""2ESOC"";""ICL  "";""GeH  "";""424  "";1;1"
"13;""2ESOB"";""IBR  "";""AMBLS"";""408  "";1;1"
"14;""2ESOC"";""IBR  "";""AMBLS"";""408  "";1;1"
"15;""2ESOD"";""CSG  "";""LCL  "";""412  "";1;1"
"16;""2ESOE"";""AGC  "";""FyQ  "";""413  "";1;1"
"17;""2ESOF"";""RLT  "";""GeH  "";""414  "";1;1"
"18;""2ESOG"";""CMS  "";""LCL  "";""416  "";1;1"
"19;""2ESOH"";""JGG  "";""MAT  "";""417  "";1;1"
"20;""3ESOA"";""ANO  "";""LCL  "";""311  "";1;1"
"21;""3ESOB"";""CJG  "";""TEC  "";""301  "";1;1"
"22;""3ESOC"";""RCG  "";""EF   "";""P-2  "";1;1"
"23;""3ESOD"";""JLM  "";""GeH  "";""117  "";1;1"
"24;""3ESOE"";""MGA  "";""TEC  "";""510  "";1;1"
"25;""3ESOF"";""MLC  "";""LCL  "";""425  "";1;1"
"26;""3ESOG"";""MRJ  "";""ING  "";""426  "";1;1"
"27;""4ESOA"";""AGZ  "";""REL  "";""303  "";1;1"
"28;""4ESOB"";""RGC  "";""REL  "";""525  "";1;1"
"29;""4ESOC"";""PGT  "";""REL  "";""118  "";1;1"
"30;""4ESOA"";""FGA  "";""VE   "";""524  "";1;1"
"31;""4ESOB"";""FGA  "";""VE   "";""524  "";1;1"
